,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
0,2010-02-01,46.8,11.3,10.0,11.9,49,19,0.00,0.0
1,2010-02-02,36.9,14.6,10.0,2.5,46,19,0.00,0.0
2,2010-02-03,38.3,18.9,10.0,1.2,45,26,0.00,0.0
3,2010-02-04,41.7,26.8,8.9,3.7,48,29,T,0.1
4,2010-02-05,41.7,13.9,10.0,5.3,45,26,0.00,0.0
5,2010-02-06,35.5,27.6,7.5,1.9,41,22,0.00,0.0
6,2010-02-07,34.6,29.7,7.7,0.9,34,25,0.12,1.4
7,2010-02-08,29.1,26.9,4.0,2.6,30,17,0.19,4.2
8,2010-02-09,21.3,15.5,7.7,0.9,30,1,0.01,0.3
9,2010-02-10,25.6,17.8,9.8,1.0,42,10,0.00,0.0
10,2010-02-11,33.7,22.0,10.0,1.8,42,20,0.00,0.0
11,2010-02-12,40.3,18.7,10.0,5.5,46,23,0.00,0.0
12,2010-02-13,45.4,19.2,10.0,8.6,48,27,0.00,0.0
13,2010-02-14,31.1,19.5,7.9,5.0,38,16,0.08,2.4
14,2010-02-15,27.4,10.7,10.0,2.1,36,8,0.00,0.0
15,2010-02-16,31.7,12.4,10.0,1.6,41,11,0.00,0.0
16,2010-02-17,36.3,17.1,10.0,1.7,44,20,0.00,0.0
17,2010-02-18,39.1,27.6,9.5,2.3,41,25,0.11,1.6
18,2010-02-19,30.1,27.4,6.1,2.7,38,21,0.21,1.9
19,2010-02-20,29.8,27.6,5.8,3.0,30,22,0.12,1.2
20,2010-02-21,25.3,22.9,3.0,5.0,25,16,0.26,6.0
21,2010-02-22,22.3,17.4,5.3,1.4,33,10,0.10,1.8
22,2010-02-23,27.4,14.2,10.0,1.8,42,9,0.00,0.0
23,2010-02-24,35.0,18.0,10.0,1.4,49,20,0.00,0.0
24,2010-02-25,42.2,24.0,10.0,3.7,48,30,0.05,0.5
25,2010-02-26,38.5,27.1,9.0,1.9,46,19,0.05,1.0
26,2010-02-27,37.8,21.6,10.0,1.6,49,22,0.00,0.0
27,2010-02-28,38.8,28.6,9.4,2.6,45,28,0.07,0.6
28,2010-03-01,36.0,32.2,6.1,2.0,45,28,0.02,0.4
29,2010-03-02,42.7,26.1,10.0,2.6,55,25,0.00,0.0
30,2010-03-03,45.3,25.6,10.0,1.5,56,26,0.00,0.0
31,2010-03-04,46.7,25.2,10.0,2.7,57,30,0.00,0.0
32,2010-03-05,43.5,30.3,8.1,3.7,51,29,0.00,0.0
33,2010-03-06,44.2,28.9,10.0,4.0,57,27,0.00,0.0
34,2010-03-07,43.3,34.5,8.1,3.1,52,31,0.00,0.0
35,2010-03-08,44.8,35.1,9.6,1.7,46,42,T,0.0
36,2010-03-09,48.0,25.9,10.0,3.7,56,30,0.00,0.0
37,2010-03-10,42.3,31.5,9.4,3.6,47,28,0.13,0.8
38,2010-03-11,38.4,28.2,9.2,2.2,49,25,0.05,0.5
39,2010-03-12,46.5,11.1,10.0,4.5,57,29,0.00,0.0
40,2010-03-13,55.3,18.6,10.0,3.5,60,27,0.00,0.0
41,2010-03-14,42.1,31.2,8.8,4.8,55,29,0.25,0.2
42,2010-03-15,39.8,34.0,5.9,1.2,51,31,0.11,0.4
43,2010-03-16,48.6,25.6,10.0,1.8,63,29,0.00,0.0
44,2010-03-17,56.6,17.5,10.0,3.0,69,34,0.00,0.0
45,2010-03-18,54.5,20.1,10.0,3.8,65,35,0.00,0.0
46,2010-03-19,36.4,31.2,3.9,7.3,51,23,1.02,12.3
47,2010-03-20,28.3,16.9,9.2,3.5,37,6,0.05,2.4
48,2010-03-21,37.9,20.4,10.0,1.4,59,19,0.00,0.0
49,2010-03-22,54.8,16.2,10.0,4.4,65,36,0.00,0.0
50,2010-03-23,48.6,30.3,9.1,4.2,56,31,0.70,3.1
51,2010-03-24,35.6,31.1,4.7,2.1,45,27,0.86,8.5
52,2010-03-25,37.1,28.7,10.0,1.4,49,21,0.00,0.0
53,2010-03-26,41.2,30.9,9.8,3.0,45,29,0.11,0.1
54,2010-03-27,44.0,28.5,10.0,9.0,48,32,T,T
55,2010-03-28,49.8,18.5,10.0,4.4,63,29,0.00,0.0
56,2010-03-29,59.1,9.8,10.0,5.2,70,42,0.00,0.0
57,2010-03-30,67.8,16.9,10.0,6.5,79,47,0.00,0.0
58,2010-03-31,60.4,23.9,10.0,5.8,71,40,0.00,0.0
59,2010-04-01,48.8,35.0,9.9,3.8,54,36,T,T
60,2010-04-02,43.0,8.1,10.0,7.4,49,30,0.00,0.0
61,2010-04-03,46.2,13.5,10.0,10.8,55,29,T,T
62,2010-04-04,47.4,22.2,10.0,7.4,63,32,T,T
63,2010-04-05,50.6,25.2,10.0,3.0,60,35,0.00,0.0
64,2010-04-06,49.6,26.1,9.8,11.2,58,36,0.08,T
65,2010-04-07,41.9,23.3,8.1,6.5,49,29,0.10,1.8
66,2010-04-08,46.5,25.3,10.0,3.2,65,25,0.00,0.0
67,2010-04-09,55.2,22.2,10.0,3.8,66,37,0.00,0.0
68,2010-04-10,50.2,31.3,10.0,3.9,62,35,0.00,0.0
69,2010-04-11,52.4,34.2,10.0,1.4,69,33,0.00,0.0
70,2010-04-12,61.3,31.6,10.0,3.0,74,33,0.00,0.0
71,2010-04-13,63.3,27.9,10.0,10.0,74,44,0.00,0.0
72,2010-04-14,57.0,19.0,10.0,5.7,68,35,0.00,0.0
73,2010-04-15,59.9,28.7,10.0,4.5,66,38,0.00,0.0
74,2010-04-16,54.5,36.1,10.0,4.0,62,38,0.00,0.0
75,2010-04-17,50.9,41.9,9.6,2.6,54,41,0.04,0.0
76,2010-04-18,52.7,41.1,7.8,2.8,69,34,0.00,0.0
