"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72466093037","2017-01-01","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  29.7","24","   9.7","24","1007.8","24","799.1","24"," 10.0","24","  5.6","24"," 14.0"," 21.0","  50.0"," ","  16.0"," "," 0.00","G","999.9","000000"
"72466093037","2017-01-02","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  36.9","24","   9.0","24","1005.5","23","799.5","24"," 10.0","24","  7.9","24"," 19.0"," 27.0","  52.0"," ","  16.0"," "," 0.00","G","999.9","000000"
"72466093037","2017-01-03","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  21.3","24","  14.3","24","1019.4","19","808.6","24","  5.6","24","  7.1","24"," 15.0","999.9","  33.1","*","  17.1","*"," 0.00","G","999.9","101000"
"72466093037","2017-01-04","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  15.1","24","   6.8","24","1018.8","23","805.2","24"," 10.0","24","  4.6","24","  9.9","999.9","  28.0"," ","   7.0"," "," 0.02","G","999.9","000000"
"72466093037","2017-01-05","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","   6.0","24","  -1.7","24","1018.7","10","804.4","24","  4.1","24","  7.3","24"," 14.0"," 15.9","  19.0","*","   1.4","*"," 0.01","G","  3.1","001000"
"72466093037","2017-01-06","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","   6.7","24","  -2.0","24","1025.5","21","807.6","24","  8.5","24","  2.4","24","  6.0","999.9","  19.0"," ","  -7.1"," "," 0.16","G","  1.2","001000"
"72466093037","2017-01-07","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  11.9","24","  -2.5","24","1033.8","24","815.4","24"," 10.0","24","  5.5","24","  9.9","999.9","  28.9"," ","  -7.1"," "," 0.00","G","  2.0","000000"
"72466093037","2017-01-08","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  28.0","24","  13.3","24","1026.4","24","813.0","24"," 10.0","24","  4.6","24","  9.9","999.9","  46.9"," ","  -0.0"," "," 0.00","G","  2.0","000000"
"72466093037","2017-01-09","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  47.0","24","  25.7","24","1011.8","21","805.7","24"," 10.0","24"," 19.8","24"," 51.1"," 68.0","  59.0","*","  32.0","*"," 0.00","G","  1.2","000000"
"72466093037","2017-01-10","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  45.0","24","  15.7","24","1003.4","22","800.8","24"," 10.0","24"," 21.7","24"," 36.9"," 47.0","  60.1"," ","  30.9"," "," 0.00","G","  1.2","010000"
"72466093037","2017-01-11","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  47.7","24","  17.4","24"," 999.8","23","797.9","24"," 10.0","24"," 19.8","24"," 31.1"," 42.9","  57.0"," ","  34.0"," "," 0.00","G","999.9","000000"
"72466093037","2017-01-12","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  38.0","24","  17.3","24","1012.3","23","806.2","24"," 10.0","24"," 10.5","24"," 17.1"," 25.1","  57.0"," ","  24.1"," "," 0.00","G","999.9","000000"
"72466093037","2017-01-13","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  25.3","24","  17.9","24","1026.8","21","814.3","24","  7.0","24","  5.3","24"," 14.0","999.9","  48.0"," ","  17.1"," "," 0.00","G","999.9","100000"
"72466093037","2017-01-14","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  32.3","24","  20.9","24","1029.8","24","817.3","24","  9.0","24","  4.8","24"," 11.1","999.9","  48.0"," ","  17.1"," "," 0.00","G","999.9","000000"
"72466093037","2017-01-15","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  30.1","24","  24.4","24","1022.4","20","811.6","24","  6.2","24","  4.4","24"," 11.1","999.9","  48.0"," ","  21.9"," "," 0.00","G","999.9","001000"
"72466093037","2017-01-16","38.80949","-104.68873","1884.2","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","  31.8","24","  25.2","24","1016.8","22","807.2","24","  6.6","24"," 15.1","24"," 25.1"," 35.9","  37.0"," ","  24.1"," "," 0.05","G","999.9","101000"
