STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72466093037,2000-01-01,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",39.2,24,13.8,24,1007.0,23,999.9,0,9.9,24,7.3,24,19.0,28.9,55.9, ,19.9, ,0.0,G,999.9,0
72466093037,2000-01-02,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",29.2,24,23.6,24,1008.1,21,999.9,0,8.7,24,9.1,24,26.0,28.0,39.2,*,18.0,*,0.01,G,1.2,101000
72466093037,2000-01-03,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",24.4,24,15.4,24,1015.3,21,999.9,0,8.9,24,14.6,24,25.1,29.9,39.0, ,17.1, ,0.0,G,999.9,101000
72466093037,2000-01-04,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",21.5,24,2.6,24,1027.9,24,999.9,0,9.9,24,6.0,24,8.9,999.9,43.0, ,8.1, ,0.0,G,999.9,0
72466093037,2000-01-05,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",34.7,23,10.5,23,1014.3,23,999.9,0,9.9,23,10.6,23,15.9,19.0,43.0,*,27.0,*,0.0,G,999.9,0
72466093037,2000-01-06,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",26.0,24,15.0,24,1026.5,21,999.9,0,8.6,24,5.2,24,15.0,999.9,43.0, ,19.9, ,0.0,G,999.9,101000
72466093037,2000-01-07,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",26.0,24,7.5,24,1028.0,24,999.9,0,9.9,24,5.1,24,8.9,999.9,48.9, ,12.0, ,0.0,G,999.9,0
72466093037,2000-01-08,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",32.9,24,10.7,24,1016.0,24,999.9,0,9.9,24,6.8,24,10.1,999.9,48.9, ,12.0, ,0.0,G,999.9,0
72466093037,2000-01-09,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",34.4,24,3.8,24,1006.8,24,999.9,0,9.9,24,16.2,24,28.0,36.9,42.1, ,26.1, ,0.0,G,999.9,0
72466093037,2000-01-10,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",39.4,24,7.8,24,1005.2,23,999.9,0,9.9,24,16.0,24,32.1,43.9,50.0, ,26.1, ,0.0,G,999.9,0
72466093037,2000-01-11,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",35.5,24,14.2,24,1011.9,22,999.9,0,9.9,24,7.4,24,20.0,26.0,64.0, ,15.1, ,0.0,G,999.9,0
72466093037,2000-01-12,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",51.0,24,9.7,24,1005.2,16,999.9,0,9.9,24,12.8,24,25.1,34.0,55.0,*,46.9,*,0.0,G,999.9,0
72466093037,2000-01-13,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",32.0,24,15.0,24,1032.2,19,999.9,0,9.9,24,8.9,24,18.1,22.9,39.9,*,21.9,*,0.0,G,999.9,0
72466093037,2000-01-14,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.6,24,12.5,24,1029.9,24,999.9,0,9.9,24,5.2,24,8.0,999.9,63.0, ,21.0, ,0.0,G,999.9,0
72466093037,2000-01-15,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",48.7,24,4.2,24,1018.8,24,999.9,0,9.9,24,8.0,24,15.9,999.9,59.0,*,37.9,*,0.0,G,999.9,0
72466093037,2000-01-16,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",39.6,24,11.5,24,1023.3,24,999.9,0,9.9,24,6.4,24,10.1,14.0,60.1, ,28.9, ,0.0,G,999.9,0
72466093037,2000-01-17,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",46.0,24,21.1,24,1020.7,24,999.9,0,9.9,24,6.7,24,15.9,16.9,62.1, ,28.9, ,0.0,G,999.9,0
72466093037,2000-01-18,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",42.5,24,26.0,24,1022.4,24,999.9,0,9.9,24,8.9,24,20.0,999.9,62.1, ,33.1, ,0.0,G,999.9,0
72466093037,2000-01-19,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",46.9,24,23.9,24,1014.0,24,999.9,0,9.9,24,13.4,24,22.9,34.0,55.9, ,35.1, ,0.0,G,999.9,0
72466093037,2000-01-20,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",35.3,24,15.0,24,1021.0,24,999.9,0,9.9,24,5.5,24,13.0,999.9,57.0, ,19.9, ,0.0,G,999.9,0
72466093037,2000-01-21,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",36.8,24,16.1,24,1013.1,24,999.9,0,9.9,24,5.5,24,18.1,27.0,57.9, ,19.9, ,0.0,G,999.9,0
72466093037,2000-01-22,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",36.2,24,22.9,24,1011.4,24,999.9,0,9.9,24,7.5,24,17.1,21.0,57.9, ,21.9, ,0.0,G,999.9,0
72466093037,2000-01-23,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",33.1,24,10.1,24,1018.6,23,999.9,0,9.9,24,8.0,24,15.9,19.0,44.1, ,21.9, ,0.0,G,999.9,0
72466093037,2000-01-24,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",34.0,24,8.4,24,1020.1,24,999.9,0,9.9,24,5.9,24,15.0,999.9,53.1, ,16.0, ,0.0,G,999.9,0
72466093037,2000-01-25,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",26.6,24,15.8,24,1023.5,23,999.9,0,9.9,24,6.9,24,14.0,999.9,53.1, ,16.0, ,0.0,G,999.9,0
72466093037,2000-01-26,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",25.3,24,18.0,24,1017.1,21,999.9,0,8.5,24,2.6,24,13.0,999.9,42.1, ,19.0, ,0.0,G,999.9,111000
72466093037,2000-01-27,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",23.9,24,21.8,24,1019.7,18,999.9,0,3.4,24,3.6,24,13.0,999.9,42.1, ,17.1, ,0.19,G,2.0,101000
72466093037,2000-01-28,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",22.2,24,20.4,24,1025.5,10,999.9,0,2.2,24,3.9,24,12.0,999.9,30.9, ,17.1, ,0.09,G,5.9,101000
72466093037,2000-01-29,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",14.0,24,8.2,24,1028.3,22,999.9,0,9.0,24,3.4,24,7.0,999.9,25.0, ,1.9, ,0.05,G,3.9,101000
72466093037,2000-01-30,38.80949,-104.68873,1884.2,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",14.3,24,5.9,24,1028.0,24,999.9,0,9.9,24,4.1,24,8.0,999.9,30.0, ,1.0, ,0.0,G,3.1,0
