,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
0,2000-01-01,39.2,13.8,9.9,7.3,56,27,0.06,0.6
1,2000-01-02,29.2,23.6,8.7,9.1,39,17,T,T
2,2000-01-03,24.4,15.4,8.9,14.6,26,10,T,T
3,2000-01-04,21.5,2.6,9.9,6.0,43,8,0,0
4,2000-01-05,34.7,10.5,9.9,10.6,43,21,T,T
5,2000-01-06,26.0,15.0,8.6,5.2,31,14,T,T
6,2000-01-07,26.0,7.5,9.9,5.1,49,12,0,0
7,2000-01-08,32.9,10.7,9.9,6.8,42,23,0,0
8,2000-01-09,34.4,3.8,9.9,16.2,42,26,0,0
9,2000-01-10,39.4,7.8,9.9,16.0,50,22,0,0
10,2000-01-11,35.5,14.2,9.9,7.4,64,15,0,0
11,2000-01-12,51.0,9.7,9.9,12.8,55,24,0,0
12,2000-01-13,32.0,15.0,9.9,8.9,41,21,0,0
13,2000-01-14,38.6,12.5,9.9,5.2,63,22,0,0
14,2000-01-15,48.7,4.2,9.9,8.0,60,31,0,0
15,2000-01-16,39.6,11.5,9.9,6.4,50,29,0,0
16,2000-01-17,46.0,21.1,9.9,6.7,62,33,0,0
17,2000-01-18,42.5,26.0,9.9,8.9,53,35,0,0
18,2000-01-19,46.9,23.9,9.9,13.4,56,24,0,0
19,2000-01-20,35.3,15.0,9.9,5.5,57,20,0,0
20,2000-01-21,36.8,16.1,9.9,5.5,58,25,0,0
21,2000-01-22,36.2,22.9,9.9,7.5,44,22,0,0
22,2000-01-23,33.1,10.1,9.9,8.0,43,22,0,0
23,2000-01-24,34.0,8.4,9.9,5.9,53,16,0,0
24,2000-01-25,26.6,15.8,9.9,6.9,32,19,0,0
25,2000-01-26,25.3,18.0,8.5,2.6,42,20,0.27,1.2
26,2000-01-27,23.9,21.8,3.4,3.6,31,17,0.15,2.4
27,2000-01-28,22.2,20.4,2.2,3.9,24,9,0.2,3.2
28,2000-01-29,14.0,8.2,9.0,3.4,25,2,T,T
29,2000-01-30,14.3,5.9,9.9,4.1,30,1,0,0
30,2000-01-31,19.2,3.6,9.9,5.2,35,5,0,0
