"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72565003017","2023-01-01","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  30.3","24","  22.9","24","1009.1","23","825.6","24"," 10.0","24","  7.1","24"," 11.1","999.9","  48.9"," ","  23.0"," "," 0.00","G","  5.1","100000"
"72565003017","2023-01-02","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  27.6","24","  26.0","24","1009.4","15","825.1","24","  0.9","24","  4.4","24"," 12.0","999.9","  34.0"," ","  23.0"," "," 0.12","G","  3.9","111000"
"72565003017","2023-01-03","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  22.6","24","  20.3","24","1010.3"," 9","824.7","24","  6.8","24","  7.4","24"," 14.0","999.9","  28.0"," ","  17.1"," "," 0.05","G","  3.9","001000"
"72565003017","2023-01-04","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  21.7","24","  12.4","24","1014.9","24","827.9","24"," 10.0","24","  7.4","24"," 14.0","999.9","  30.0"," ","  12.0"," "," 0.00","G","  3.9","000000"
"72565003017","2023-01-05","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  19.5","24","   7.8","24","1022.0","24","833.4","24"," 10.0","24","  6.6","24"," 14.0","999.9","  30.0"," ","  10.0"," "," 0.00","G","  3.9","000000"
"72565003017","2023-01-06","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  25.5","24","  14.3","24","1016.6","24","829.8","24"," 10.0","24","  6.2","24","  9.9","999.9","  37.9"," ","  10.0"," "," 0.00","G","  3.9","000000"
"72565003017","2023-01-07","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  28.5","24","  21.0","24","1023.8","24","836.8","24"," 10.0","24","  7.6","24"," 12.0","999.9","  37.9"," ","  16.0"," "," 0.00","G","  3.9","000000"
"72565003017","2023-01-08","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  29.6","24","  17.0","24","1022.7","24","836.0","24"," 10.0","24","  8.3","24"," 14.0","999.9","  43.0"," ","  18.0"," "," 0.00","G","  3.9","000000"
"72565003017","2023-01-09","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  37.0","24","  19.7","24","1016.5","24","832.4","24"," 10.0","24","  8.7","24"," 18.1"," 27.0","  48.0"," ","  18.0"," "," 0.00","G","  3.9","000000"
"72565003017","2023-01-10","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  37.9","24","  23.9","24","1009.2","24","826.7","24"," 10.0","24","  7.6","24"," 21.0","999.9","  53.1"," ","  21.9"," "," 0.00","G","  3.1","000000"
"72565003017","2023-01-11","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  34.4","24","  26.5","24","1006.8","17","824.9","24","  6.7","24","  9.0","24"," 15.9","999.9","  53.1"," ","  28.0"," "," 0.00","G","  2.0","101000"
"72565003017","2023-01-12","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  29.9","24","  24.3","24","1026.4","24","839.0","24","  8.8","24","  5.8","24"," 11.1","999.9","  41.0"," ","  16.0"," "," 0.07","G","  2.0","000000"
"72565003017","2023-01-13","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  32.3","24","  21.2","24","1026.4","24","839.4","24","  9.5","24","  6.5","24"," 13.0","999.9","  46.9"," ","  16.0"," "," 0.00","G","  2.0","000000"
"72565003017","2023-01-14","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","  41.9","24","  25.6","24","1012.2","24","829.6","24"," 10.0","24","  7.8","24"," 14.0","999.9","  57.0","*","  35.1","*"," 0.00","G","  1.2","000000"
