DATE,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
01-02-2010,11.3,10,11.9,49,19,0,0
02-02-2010,14.6,10,2.5,46,19,0,0
03-02-2010,18.9,10,1.2,45,26,0,0
04-02-2010,26.8,8.9,3.7,48,29,0,0.1
05-02-2010,13.9,10,5.3,45,26,0,0
06-02-2010,27.6,7.5,1.9,41,22,0,0
07-02-2010,29.7,7.7,0.9,34,25,0.12,1.4
08-02-2010,26.9,4,2.6,30,17,0.19,4.2
09-02-2010,15.5,7.7,0.9,30,1,0.01,0.3
10-02-2010,17.8,9.8,1,42,10,0,0
11-02-2010,22,10,1.8,42,20,0,0
12-02-2010,18.7,10,5.5,46,23,0,0
13-02-2010,19.2,10,8.6,48,27,0,0
14-02-2010,19.5,7.9,5,38,16,0.08,2.4
15-02-2010,10.7,10,2.1,36,8,0,0
16-02-2010,12.4,10,1.6,41,11,0,0
17-02-2010,17.1,10,1.7,44,20,0,0
18-02-2010,27.6,9.5,2.3,41,25,0.11,1.6
19-02-2010,27.4,6.1,2.7,38,21,0.21,1.9
20-02-2010,27.6,5.8,3,30,22,0.12,1.2
21-02-2010,22.9,3,5,25,16,0.26,6
22-02-2010,17.4,5.3,1.4,33,10,0.1,1.8
23-02-2010,14.2,10,1.8,42,9,0,0
24-02-2010,18,10,1.4,49,20,0,0
25-02-2010,24,10,3.7,48,30,0.05,0.5
26-02-2010,27.1,9,1.9,46,19,0.05,1
27-02-2010,21.6,10,1.6,49,22,0,0
28-02-2010,28.6,9.4,2.6,45,28,0.07,0.6
01-03-2010,32.2,6.1,2,45,28,0.02,0.4
02-03-2010,26.1,10,2.6,55,25,0,0
03-03-2010,25.6,10,1.5,56,26,0,0
04-03-2010,25.2,10,2.7,57,30,0,0
05-03-2010,30.3,8.1,3.7,51,29,0,0
06-03-2010,28.9,10,4,57,27,0,0
07-03-2010,34.5,8.1,3.1,52,31,0,0
08-03-2010,35.1,9.6,1.7,46,42,0,0
09-03-2010,25.9,10,3.7,56,30,0,0
10-03-2010,31.5,9.4,3.6,47,28,0.13,0.8
11-03-2010,28.2,9.2,2.2,49,25,0.05,0.5
12-03-2010,11.1,10,4.5,57,29,0,0
13-03-2010,18.6,10,3.5,60,27,0,0
14-03-2010,31.2,8.8,4.8,55,29,0.25,0.2
15-03-2010,34,5.9,1.2,51,31,0.11,0.4
16-03-2010,25.6,10,1.8,63,29,0,0
17-03-2010,17.5,10,3,69,34,0,0
18-03-2010,20.1,10,3.8,65,35,0,0
19-03-2010,31.2,3.9,7.3,51,23,1.02,12.3
20-03-2010,16.9,9.2,3.5,37,6,0.05,2.4
21-03-2010,20.4,10,1.4,59,19,0,0
22-03-2010,16.2,10,4.4,65,36,0,0
23-03-2010,30.3,9.1,4.2,56,31,0.7,3.1
24-03-2010,31.1,4.7,2.1,45,27,0.86,8.5
25-03-2010,28.7,10,1.4,49,21,0,0
26-03-2010,30.9,9.8,3,45,29,0.11,0.1
27-03-2010,28.5,10,9,48,32,0,0
28-03-2010,18.5,10,4.4,63,29,0,0
29-03-2010,9.8,10,5.2,70,42,0,0
30-03-2010,16.9,10,6.5,79,47,0,0
31-03-2010,23.9,10,5.8,71,40,0,0
01-04-2010,35,9.9,3.8,54,36,0,0
02-04-2010,8.1,10,7.4,49,30,0,0
03-04-2010,13.5,10,10.8,55,29,0,0
04-04-2010,22.2,10,7.4,63,32,0,0
05-04-2010,25.2,10,3,60,35,0,0
06-04-2010,26.1,9.8,11.2,58,36,0.08,0
07-04-2010,23.3,8.1,6.5,49,29,0.1,1.8
08-04-2010,25.3,10,3.2,65,25,0,0
09-04-2010,22.2,10,3.8,66,37,0,0
10-04-2010,31.3,10,3.9,62,35,0,0
11-04-2010,34.2,10,1.4,69,33,0,0
12-04-2010,31.6,10,3,74,33,0,0
13-04-2010,27.9,10,10,74,44,0,0
14-04-2010,19,10,5.7,68,35,0,0
15-04-2010,28.7,10,4.5,66,38,0,0
16-04-2010,36.1,10,4,62,38,0,0
17-04-2010,41.9,9.6,2.6,54,41,0.04,0
18-04-2010,41.1,7.8,2.8,69,34,0,0
19-04-2010,32.5,10,3.7,71,40,0,0
20-04-2010,39.7,9.9,2.1,70,37,0,0
21-04-2010,45.1,9.9,3.3,59,43,0.03,0
22-04-2010,48.1,9.2,4.3,60,42,1.13,0
23-04-2010,41.8,8.3,4.9,50,33,1.48,1
24-04-2010,34.1,10,8.4,60,38,0.03,0
25-04-2010,32.6,10,6.2,60,37,0.03,0
26-04-2010,34,8.1,3.8,53,29,0.4,1.7
27-04-2010,34.2,10,2.7,69,31,0,0
28-04-2010,27.8,10,9.1,76,49,0,0
29-04-2010,32.5,8.2,6.6,69,31,0.31,1.3
30-04-2010,18.5,10,4.8,53,28,0,0
01-05-2010,28.6,10,3.5,58,30,0,0
02-05-2010,27.1,10,6.3,55,32,0,0
03-05-2010,27.8,10,5.2,65,34,0,0
04-05-2010,23.2,10,16.7,70,50,0,0
05-05-2010,21.9,10,9.4,64,36,0,0
06-05-2010,34.1,9.9,3.8,60,34,0.16,0
07-05-2010,31.7,9,3.3,54,28,0.14,0.9
08-05-2010,24.7,10,4,55,30,0,0
09-05-2010,34.5,10,1.9,70,33,0,0
10-05-2010,39.7,9.6,3.9,65,41,0,0
11-05-2010,36.7,10,4.6,59,39,0.13,0
12-05-2010,36.3,6.7,4.2,40,32,1.13,4.7
13-05-2010,35.6,7.6,2.2,51,28,0.07,0
14-05-2010,41.6,9.4,2,56,33,0.24,0
15-05-2010,46.1,8.6,1.5,61,37,0.21,0
16-05-2010,41.2,10,2.8,67,35,0,0
17-05-2010,42.1,10,2.6,74,40,0,0
18-05-2010,49.3,10,2.5,74,51,0,0
19-05-2010,44.9,10,3.9,67,39,0.2,0
20-05-2010,49.3,9.6,3.5,69,44,0,0
21-05-2010,49.7,10,2,74,45,0,0
22-05-2010,32.2,10,9.1,86,51,0,0
23-05-2010,35,10,4.4,81,41,0,0
24-05-2010,36.5,10,8.1,71,44,0,0
25-05-2010,25.3,10,6.8,71,45,0,0
26-05-2010,50.2,10,2.9,74,45,0,0
27-05-2010,55.9,10,2.7,84,49,0,0
28-05-2010,44.6,10,3.6,91,54,0,0
