DATE,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
01-01-2000,13.8,9.9,7.3,56,27,0.06,0.6
02-01-2000,23.6,8.7,9.1,39,17,0,0
03-01-2000,15.4,8.9,14.6,26,10,0,0
04-01-2000,2.6,9.9,6,43,8,0,0
05-01-2000,10.5,9.9,10.6,43,21,0,0
06-01-2000,15,8.6,5.2,31,14,0,0
07-01-2000,7.5,9.9,5.1,49,12,0,0
08-01-2000,10.7,9.9,6.8,42,23,0,0
09-01-2000,3.8,9.9,16.2,42,26,0,0
10-01-2000,7.8,9.9,16,50,22,0,0
11-01-2000,14.2,9.9,7.4,64,15,0,0
12-01-2000,9.7,9.9,12.8,55,24,0,0
13-01-2000,15,9.9,8.9,41,21,0,0
14-01-2000,12.5,9.9,5.2,63,22,0,0
15-01-2000,4.2,9.9,8,60,31,0,0
16-01-2000,11.5,9.9,6.4,50,29,0,0
17-01-2000,21.1,9.9,6.7,62,33,0,0
18-01-2000,26,9.9,8.9,53,35,0,0
19-01-2000,23.9,9.9,13.4,56,24,0,0
20-01-2000,15,9.9,5.5,57,20,0,0
21-01-2000,16.1,9.9,5.5,58,25,0,0
22-01-2000,22.9,9.9,7.5,44,22,0,0
23-01-2000,10.1,9.9,8,43,22,0,0
24-01-2000,8.4,9.9,5.9,53,16,0,0
25-01-2000,15.8,9.9,6.9,32,19,0,0
26-01-2000,18,8.5,2.6,42,20,0.27,1.2
27-01-2000,21.8,3.4,3.6,31,17,0.15,2.4
28-01-2000,20.4,2.2,3.9,24,9,0.2,3.2
29-01-2000,8.2,9,3.4,25,2,0,0
30-01-2000,5.9,9.9,4.1,30,1,0,0
31-01-2000,3.6,9.9,5.2,35,5,0,0
01-02-2000,7.7,9.9,6.8,38,14,0,0
02-02-2000,13.8,9.9,5.5,57,23,0,0
03-02-2000,18.3,9.9,8.6,53,26,0,0
04-02-2000,18.9,9.8,10.1,34,21,0,0
05-02-2000,15.8,9.9,4.4,54,19,0,0
06-02-2000,16.8,9.9,4.8,53,28,0,0
07-02-2000,18.8,9.9,6.1,51,25,0,0
08-02-2000,15.9,9.9,5.1,61,28,0,0
09-02-2000,15.9,9.9,6.8,55,32,0,0
10-02-2000,21.6,9.9,5.6,50,29,0,0
11-02-2000,24.3,4,6.4,29,21,0,0
12-02-2000,22.2,5.3,2.2,51,19,0,0
13-02-2000,20.4,6.5,5.5,46,20,0,0
14-02-2000,16.3,9.9,8.2,65,27,0,0
15-02-2000,16.9,9.9,15,58,31,0,0
16-02-2000,13.8,9.9,10.9,50,27,0,0
17-02-2000,21.2,8.7,7.6,47,22,0.2,2
18-02-2000,17.5,9.8,12.2,32,17,0,0
19-02-2000,14.6,9.9,7.2,42,14,0,0
20-02-2000,14.5,9.9,5.3,55,20,0,0
21-02-2000,18,9.9,8.2,64,30,0,0
22-02-2000,20.2,9.9,7.7,60,34,0.03,0
23-02-2000,25.5,9.9,13.4,57,32,0,0
24-02-2000,22,9.9,9,57,29,0,0
25-02-2000,7.1,9.9,18.1,42,31,0,0
26-02-2000,0.6,9.9,10.9,51,22,0,0
27-02-2000,11.6,9.9,8.6,57,22,0,0
28-02-2000,14.2,9.9,10.4,62,29,0,0
29-02-2000,21.2,9.9,13.6,52,31,0,0
01-03-2000,19.9,9.9,6.7,53,23,0,0
02-03-2000,24.6,9.6,14.4,42,31,0,0
03-03-2000,25.3,8.7,7.7,53,22,0,0
04-03-2000,22.3,9.9,6.5,64,25,0,0
05-03-2000,23,9.9,9.8,64,32,0,0
06-03-2000,16,9.9,12.3,59,31,0,0
07-03-2000,26.2,9.9,10.1,55,32,0.42,0
08-03-2000,19.8,9.3,16.3,55,28,0,0
09-03-2000,24.8,7.5,10.2,46,25,0,0
10-03-2000,20.8,7.9,10.8,45,22,0,0
11-03-2000,20.4,9.9,7.1,48,20,0,0
12-03-2000,22.2,9.2,8.6,41,29,0.07,0.4
13-03-2000,24.1,9.9,6,52,22,0,0
14-03-2000,21.3,9.9,9.6,56,28,0,0
15-03-2000,23.2,8.4,10.1,51,24,0.61,6.4
16-03-2000,21,5.2,4.8,28,10,0.07,1.1
17-03-2000,23.8,9.8,3.4,42,18,0.05,0.5
18-03-2000,24.9,8.5,13.5,35,22,0,0
19-03-2000,17.6,9.9,6,58,20,0,0
20-03-2000,20.6,9.2,18.4,50,25,0,0.2
21-03-2000,21.1,6.4,13.1,36,24,0,0
22-03-2000,28,9.1,6.6,46,26,0.12,0
23-03-2000,31.5,5.4,4.5,62,32,0,0
24-03-2000,21.7,9.9,8.4,60,39,0,0
25-03-2000,31.7,9.9,5.8,60,33,0,0
26-03-2000,25.8,9.9,10.5,64,39,0,0
27-03-2000,22.1,9.9,7.8,71,33,0,0
28-03-2000,23.1,9.9,9.8,54,36,0,0
29-03-2000,29.8,9.7,6.1,56,35,0.05,0
30-03-2000,31.3,6.7,10.4,38,30,0.21,0.3
31-03-2000,25.4,2.3,12.6,32,27,0.37,3.7
01-04-2000,21.1,7.9,7.9,41,24,0,0
02-04-2000,21,9.2,9.6,51,24,0.18,1.6
03-04-2000,19,9.2,12.7,37,22,0,0
04-04-2000,21.3,9.9,8.1,74,22,0,0
05-04-2000,20,9.9,9.3,74,45,0,0
06-04-2000,26.4,9.9,9.1,71,39,0,0
07-04-2000,17.8,9.9,14.4,58,27,0,0
08-04-2000,14.3,9.9,7.3,59,23,0,0
09-04-2000,21,9.9,10.1,74,38,0,0
10-04-2000,22.8,9.9,14,63,42,0,0
11-04-2000,34.1,9.2,11.3,49,33,0.07,0
12-04-2000,30.1,9.9,6.8,68,28,0,0
13-04-2000,20.3,9.9,7.9,72,40,0,0
14-04-2000,19.8,9.9,11,74,37,0,0
