DATE,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
01-01-2000,15.3,10,7.7,52,25,0,0
02-01-2000,19.4,10,6.6,42,17,0.02,0
03-01-2000,15.8,8.6,14.8,29,8,0.04,0
04-01-2000,6.3,9.9,8.8,47,14,0,0
05-01-2000,14.3,10,11.8,43,20,0,0
06-01-2000,5.4,9.9,8.3,38,17,0,0
07-01-2000,6,10,9.1,46,16,0,0
08-01-2000,11,10,7.5,48,24,0,0
09-01-2000,7,9.8,10.6,43,27,0,0
10-01-2000,13.8,10,13.3,46,17,0,0
11-01-2000,15.3,9.9,9.6,64,14,0,0
12-01-2000,14.6,9.9,10.3,55,25,0,0
13-01-2000,18.5,9.9,8.5,44,21,0,0
14-01-2000,12,10,6.7,62,29,0,0
15-01-2000,10.4,10,8.1,63,25,0,0
16-01-2000,16.8,9.9,5.7,47,22,0,0
17-01-2000,23.5,9.9,7.2,64,35,0,0
18-01-2000,26.6,9.9,8.7,52,29,0,0
19-01-2000,26.5,9.9,10.8,56,21,0,0
20-01-2000,19.1,9.9,5.7,57,19,0,0
21-01-2000,18.1,9.9,7.2,55,27,0,0
22-01-2000,18.1,10,10.4,48,20,0,0
23-01-2000,10.8,9.9,7.9,42,19,0,0
24-01-2000,10.4,10,9.3,54,21,0,0
25-01-2000,17.3,9.9,6.4,32,20,0,0
26-01-2000,20.4,9.1,3.4,39,20,0.07,0
27-01-2000,26.8,3.2,2.5,31,21,0.09,0
28-01-2000,17.8,8.6,2.8,31,8,0.02,0
29-01-2000,12.5,8.1,6.2,28,4,0,0
30-01-2000,8.8,9.9,7.2,36,10,0,0
31-01-2000,9.1,9.9,9.9,41,15,0,0
01-02-2000,9.5,9.9,9,46,18,0,0
02-02-2000,16.7,9.9,11.9,62,33,0,0
03-02-2000,15.6,10,9.9,55,23,0,0
04-02-2000,14.1,9.9,8.6,40,18,0,0
05-02-2000,17.5,9.9,6.8,57,17,0,0
06-02-2000,16.4,9.9,9.3,59,31,0,0
07-02-2000,17.7,9.9,6,54,20,0,0
08-02-2000,11,10,9.9,61,31,0,0
09-02-2000,12.5,10,7.6,57,34,0,0
10-02-2000,23.2,9.9,9.4,49,27,0,0
11-02-2000,24.1,7,9.1,31,17,0,0
12-02-2000,19.1,8.3,6.3,39,14,0,0
13-02-2000,18.7,4.5,9.8,50,21,0,0
14-02-2000,16.7,9.9,8.2,64,25,0,0
15-02-2000,18.1,9.6,16.4,56,26,0,0
16-02-2000,14.4,9.9,8.3,58,24,0,0
17-02-2000,21.3,9.2,8.4,36,19,0.09,0
18-02-2000,19,5.8,7.1,35,16,0,0
19-02-2000,17.7,9.5,5.9,49,15,0,0
20-02-2000,16.8,9.9,5.8,60,17,0,0
21-02-2000,21.8,9.9,7.5,68,32,0,0
22-02-2000,23.2,9.9,8.7,59,33,0.14,0
23-02-2000,31.4,9.9,8.2,60,35,0,0
24-02-2000,24.3,9.9,10,63,32,0,0
25-02-2000,17.1,10,12.1,45,29,0,0
26-02-2000,3.3,10,10.8,52,20,0,0
27-02-2000,13.5,9.9,8.4,65,22,0,0
28-02-2000,16.2,9.9,14.6,68,37,0,0
29-02-2000,20.9,10,12.6,55,31,0,0
01-03-2000,19.4,9.9,8.4,54,30,0,0
02-03-2000,25.1,8.6,7.3,40,30,0.1,0
03-03-2000,28,7.9,5.7,56,23,0,0
04-03-2000,25.3,9.9,8.1,67,31,0,0
05-03-2000,23.3,9.9,11,71,33,0.01,0
06-03-2000,21,10,12.8,66,33,0,0
07-03-2000,22.8,9.8,10.8,61,34,0.26,0
08-03-2000,21.1,9.4,15.6,56,26,0,0
09-03-2000,24.9,9.2,9.4,37,24,0.01,0
10-03-2000,26,5.9,7.2,44,26,0,0
11-03-2000,18.1,9.9,8.2,56,21,0,0
12-03-2000,20.5,9.9,5.9,47,26,0,0
13-03-2000,20.7,9.9,6.3,57,22,0,0
14-03-2000,21.2,9.9,7.4,59,25,0,0
15-03-2000,24.3,7.8,11,50,22,0.47,0
16-03-2000,23.7,4.8,7.3,40,14,0.01,0
17-03-2000,26.7,7,5,47,24,0.01,0
18-03-2000,25,7.9,11.6,42,23,0.05,0
19-03-2000,18.8,9.9,9.4,63,24,0,0
20-03-2000,26.8,7.5,12.7,46,26,0.22,0
21-03-2000,24.7,3.6,9.7,35,23,0.11,0
22-03-2000,26.6,8.7,6.3,45,24,0,0
23-03-2000,31.2,9.9,7.3,64,31,0,0
24-03-2000,25.9,9.9,9.1,60,31,0,0
25-03-2000,27.6,9.9,8.2,64,33,0,0
26-03-2000,27.9,9.9,9.4,62,35,0,0
27-03-2000,23.7,9.9,6.9,73,29,0,0
28-03-2000,26.2,10,8.9,67,32,0,0
29-03-2000,27.7,9.8,8.8,57,34,0.04,0
30-03-2000,28.9,6.8,12,38,30,0.25,0
31-03-2000,28.4,3.6,8.4,33,28,0.42,0
01-04-2000,23.6,7.5,6.8,43,24,0,0
02-04-2000,24.5,9,12,47,25,0.12,0
03-04-2000,20.1,8.9,7.5,41,16,0,0
04-04-2000,23.4,9.9,11.3,75,36,0,0
05-04-2000,22.7,9.9,13.9,76,41,0,0
06-04-2000,26.8,10,10.7,74,35,0,0
07-04-2000,19.1,9.9,18.2,56,23,0,0
08-04-2000,15.2,9.9,9.1,69,20,0,0
09-04-2000,23.4,9.9,9.2,77,38,0,0
10-04-2000,28,10,10.5,64,37,0,0
11-04-2000,27.6,9.9,10.4,62,32,0,0
12-04-2000,27.4,10,11.8,74,35,0,0
13-04-2000,21.6,9.9,9.7,74,43,0,0
14-04-2000,22.5,9.9,12.5,78,33,0,0
15-04-2000,27.6,7,9.6,33,26,0.04,0
16-04-2000,27.5,7.8,5.9,64,23,0,0
17-04-2000,29.4,9.9,9.4,77,37,0,0
18-04-2000,23.2,9.9,15.5,80,46,0,0
19-04-2000,19.9,9.7,16.6,56,38,0.11,0
20-04-2000,27.1,10,8.6,67,30,0,0
