DATE,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
01-01-2006,22.2,10,8.4,54,37,0,0
02-01-2006,12.2,10,6.3,61,19,0,0
03-01-2006,17.7,10,10.2,56,33,0.04,0
04-01-2006,12,10,7.8,47,25,0,0
05-01-2006,10.8,10,7,52,20,0,0
06-01-2006,11.4,10,4.6,69,26,0,0
07-01-2006,12.3,10,6.6,67,28,0,0
08-01-2006,13.4,10,9.6,55,34,0,0
09-01-2006,6.6,10,7,46,22,0,0
10-01-2006,9.6,10,3.8,50,22,0,0
11-01-2006,9.8,10,7.9,59,29,0,0
12-01-2006,10.2,10,11.5,55,34,0,0
13-01-2006,4.8,10,5.5,51,15,0,0
14-01-2006,12.5,10,2.3,62,21,0,0
15-01-2006,12.1,10,8.5,59,34,0,0
16-01-2006,12.2,10,12.4,41,26,0,0
17-01-2006,5.5,10,5.6,53,15,0,0
18-01-2006,15.2,10,11.2,58,34,0,0
19-01-2006,16.6,8,8.7,47,27,0.06,1.2
20-01-2006,14.8,9.4,3.6,41,14,0,0
21-01-2006,6.8,10,3.8,44,11,0,0
22-01-2006,10.4,10,4.2,41,19,0,0
23-01-2006,8,10,2.7,49,12,0,0
24-01-2006,10.8,10,3.3,58,18,0,0
25-01-2006,9.4,10,4.2,55,16,0,0
26-01-2006,10.4,10,3.9,53,21,0,0
27-01-2006,12.6,10,4.6,49,22,0,0
28-01-2006,6.5,10,8.4,47,30,0,0
29-01-2006,5,10,9,42,31,0,0
30-01-2006,7.3,10,6.4,49,16,0,0
31-01-2006,14.7,10,6.4,58,25,0,0
01-02-2006,18.1,10,5.6,50,22,0,0
02-02-2006,12,10,10.2,49,32,0,0
03-02-2006,8.4,10,12.9,48,29,0,0
04-02-2006,13.9,10,6.2,46,18,0,0
05-02-2006,10.5,10,11.9,44,26,0,0
06-02-2006,3.6,10,9.5,42,25,0,0
07-02-2006,6.1,10,5,53,18,0,0
08-02-2006,8.4,10,3.9,65,23,0,0
09-02-2006,9.6,10,7.8,56,29,0,0
10-02-2006,6.1,8.8,11.6,30,14,0.06,1.2
11-02-2006,-2.1,10,7.2,43,12,0,0
12-02-2006,3.3,10,6.8,57,24,0,0
13-02-2006,9.5,10,5.4,56,23,0,0
14-02-2006,6.9,10,8,62,21,0,0
15-02-2006,16.6,8.8,7.9,34,22,0.14,1.3
16-02-2006,7.5,5.7,11,23,9,0.29,3.9
17-02-2006,-5.4,6.2,7.4,10,-5,0.04,0.7
18-02-2006,-15.9,8.8,3.6,7,-11,0,0
19-02-2006,-5.5,10,2.6,23,1,0,0
20-02-2006,6.2,9.6,3.2,41,4,0,0
21-02-2006,5.5,10,5.3,42,9,0,0
22-02-2006,9.1,10,6,44,13,0,0
23-02-2006,9.6,10,4.1,52,16,0,0
24-02-2006,12.9,10,6.4,58,19,0,0
25-02-2006,17,10,5.4,46,24,0,0
26-02-2006,17.7,10,2,59,20,0,0
27-02-2006,16.9,10,4.5,73,31,0,0
28-02-2006,20.8,10,5.8,70,37,0,0
01-03-2006,20.8,10,10.5,66,43,0,0
02-03-2006,7.3,10,5.1,57,24,0,0
03-03-2006,17.4,10,4.3,58,27,0,0
04-03-2006,20.7,10,5.8,67,28,0,0
05-03-2006,13.8,10,7.2,61,26,0,0
06-03-2006,14.5,10,3.6,67,30,0,0
07-03-2006,16.7,9.8,10.5,64,38,0,0
08-03-2006,21.7,7.1,7.2,52,31,0.38,1.8
09-03-2006,21.7,4.7,4.1,45,23,0,0
10-03-2006,16.4,9.6,5.8,39,25,0.01,0.1
11-03-2006,14.4,9.9,4.8,33,21,0,0.1
12-03-2006,19.9,8.2,7.5,33,25,0.14,2.2
