"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72476994035","2016-01-01","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  13.0","24","   4.5","24","9999.9"," 0","855.3","17","  9.4","24","  2.0","24","  8.0","999.9","  30.2","*","   3.2","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-02","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  19.9","24","   6.4","24","9999.9"," 0","853.5","24"," 10.0","24","  2.1","24","  7.0","999.9","  37.4","*","  10.4","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-03","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  25.0","24","  10.6","24","9999.9"," 0","852.8","24"," 10.0","24","  3.0","24","  8.0","999.9","  41.0","*","  12.2","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-04","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  24.5","24","  13.6","24","9999.9"," 0","849.0","24"," 10.0","24","  1.4","24","  8.0","999.9","  37.4","*","  15.8","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-05","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  26.2","24","  15.8","24","9999.9"," 0","841.5","24"," 10.0","24","  2.5","24","  8.0","999.9","  42.8","*","  17.6","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-06","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  29.1","24","  18.7","24","9999.9"," 0","839.0","24"," 10.0","24","  1.8","24","  8.0","999.9","  44.6","*","  19.4","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-07","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  31.0","24","  23.2","24","9999.9"," 0","836.7","24"," 10.0","24","  1.9","24","  7.0","999.9","  39.2","*","  26.6","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-08","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  28.3","24","  25.4","24","9999.9"," 0","839.2","24","  2.3","24","  3.8","24"," 12.0","999.9","  33.8"," ","  21.2"," "," 0.05","G","999.9","000000"
"72476994035","2016-01-09","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  18.8","24","  15.6","24","9999.9"," 0","844.8","24","  5.0","24","  2.0","24","  7.0","999.9","  28.4"," ","  12.2"," "," 0.15","G","999.9","000000"
"72476994035","2016-01-10","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  14.6","12","  11.4","12","9999.9"," 0","845.6","12","  4.0","12","  0.9","12","  5.1","999.9","  26.6","*","   3.2","*"," 0.05","G","999.9","000000"
"72476994035","2016-01-11","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  15.0","24","  10.5","24","9999.9"," 0","845.1","24","  7.1","24","  1.2","24","  8.0","999.9","  32.0"," ","   1.4"," "," 0.01","G","999.9","000000"
"72476994035","2016-01-12","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  17.1","24","   8.0","24","9999.9"," 0","846.8","24","  9.6","24","  1.9","24"," 12.0","999.9","  35.6","*","   5.0","*"," 0.00","G","999.9","000000"
"72476994035","2016-01-13","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  25.6","24","  12.4","24","9999.9"," 0","845.4","24"," 10.0","24","  2.6","24","  7.0","999.9","  35.6","*","  14.0","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-14","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  35.1","24","  13.6","24","9999.9"," 0","836.2","24"," 10.0","24","  7.3","24"," 26.0"," 32.1","  46.4","*","  21.2","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-15","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  28.4","24","  12.2","24","9999.9"," 0","837.0","24"," 10.0","24","  6.2","24"," 12.0"," 18.1","  39.2","*","  17.6","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-16","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  22.1","24","  16.7","24","9999.9"," 0","842.4","24","  7.7","24","  3.0","24","  9.9","999.9","  30.2","*","  12.2","*"," 0.00","I","999.9","000000"
"72476994035","2016-01-17","40.45","-105.01667","1526.7","FORT COLLINS LOVELAND AIRPORT, CO US","  23.5","24","  15.3","24","9999.9"," 0","843.0","24","  9.4","24","  3.7","24","  8.9","999.9","  28.4","*","  19.4","*"," 0.00","I","999.9","000000"
