,DATE,TEMP,DEWP,VISIB,WDSP,MAXTEMP,MINTEMP,PREC,SNF
0,01-01-2006,45.2,22.2,10,8.4,54,37,0,0
1,02-01-2006,34.6,12.2,10,6.3,61,19,0,0
2,03-01-2006,48.5,17.7,10,10.2,56,33,0.04,0
3,04-01-2006,34.2,12,10,7.8,47,25,0,0
4,05-01-2006,34.4,10.8,10,7,52,20,0,0
5,06-01-2006,42.6,11.4,10,4.6,69,26,0,0
6,07-01-2006,47.7,12.3,10,6.6,67,28,0,0
7,08-01-2006,46.9,13.4,10,9.6,55,34,T,T
8,09-01-2006,31.5,6.6,10,7,46,22,0,0
9,10-01-2006,32.5,9.6,10,3.8,50,22,0,0
10,11-01-2006,46.7,9.8,10,7.9,59,29,0,0
11,12-01-2006,42.9,10.2,10,11.5,55,34,0,0
12,13-01-2006,29.9,4.8,10,5.5,51,15,0,0
13,14-01-2006,36.4,12.5,10,2.3,62,21,0,0
14,15-01-2006,44.5,12.1,10,8.5,59,34,0,0
15,16-01-2006,34.3,12.2,10,12.4,41,26,T,T
16,17-01-2006,25.6,5.5,10,5.6,53,15,0,0
17,18-01-2006,45.7,15.2,10,11.2,58,34,0,0
18,19-01-2006,35,16.6,8,8.7,47,27,0.06,1.2
19,20-01-2006,26.2,14.8,9.4,3.6,41,14,0,0
20,21-01-2006,23.4,6.8,10,3.8,44,11,0,0
21,22-01-2006,29.8,10.4,10,4.2,41,19,0,0
22,23-01-2006,26.4,8,10,2.7,49,12,0,0
23,24-01-2006,34,10.8,10,3.3,58,18,0,0
24,25-01-2006,35.3,9.4,10,4.2,55,16,0,0
25,26-01-2006,35.8,10.4,10,3.9,53,21,0,0
26,27-01-2006,35.8,12.6,10,4.6,49,22,0,0
27,28-01-2006,36.7,6.5,10,8.4,47,30,0,0
28,29-01-2006,34.5,5,10,9,42,31,0,0
29,30-01-2006,29.5,7.3,10,6.4,49,16,0,0
30,31-01-2006,37.3,14.7,10,6.4,58,25,0,0
31,01-02-2006,30,18.1,10,5.6,50,22,0,0
32,02-02-2006,39.8,12,10,10.2,49,32,T,T
33,03-02-2006,36.5,8.4,10,12.9,48,29,T,T
34,04-02-2006,31.3,13.9,10,6.2,46,18,0,0
35,05-02-2006,37,10.5,10,11.9,44,26,0,0
36,06-02-2006,33.6,3.6,10,9.5,42,25,0,0
37,07-02-2006,32.1,6.1,10,5,53,18,0,0
38,08-02-2006,39.6,8.4,10,3.9,65,23,0,0
39,09-02-2006,41,9.6,10,7.8,56,29,T,T
40,10-02-2006,22.8,6.1,8.8,11.6,30,14,0.06,1.2
41,11-02-2006,18.6,-2.1,10,7.2,43,12,0,0
42,12-02-2006,34.5,3.3,10,6.8,57,24,0,0
43,13-02-2006,35.8,9.5,10,5.4,56,23,0,0
44,14-02-2006,39.8,6.9,10,8,62,21,0,0
45,15-02-2006,28.5,16.6,8.8,7.9,34,22,0.14,1.3
46,16-02-2006,15.8,7.5,5.7,11,23,9,0.29,3.9
47,17-02-2006,3,-5.4,6.2,7.4,10,-5,0.04,0.7
48,18-02-2006,-6.9,-15.9,8.8,3.6,7,-11,T,T
49,19-02-2006,4.3,-5.5,10,2.6,23,1,T,T
50,20-02-2006,15.9,6.2,9.6,3.2,41,4,T,T
51,21-02-2006,24.7,5.5,10,5.3,42,9,0,0
52,22-02-2006,24.6,9.1,10,6,44,13,0,0
53,23-02-2006,31.5,9.6,10,4.1,52,16,0,0
54,24-02-2006,39.2,12.9,10,6.4,58,19,0,0
55,25-02-2006,32.3,17,10,5.4,46,24,T,T
56,26-02-2006,34.3,17.7,10,2,59,20,0,0
57,27-02-2006,46.5,16.9,10,4.5,73,31,0,0
58,28-02-2006,51.8,20.8,10,5.8,70,37,0,0
59,01-03-2006,53.6,20.8,10,10.5,66,43,0,0
60,02-03-2006,39.1,7.3,10,5.1,57,24,0,0
61,03-03-2006,38.8,17.4,10,4.3,58,27,0,0
62,04-03-2006,42.7,20.7,10,5.8,67,28,0,0
63,05-03-2006,43.2,13.8,10,7.2,61,26,0,0
64,06-03-2006,45.4,14.5,10,3.6,67,30,0,0
65,07-03-2006,50.5,16.7,9.8,10.5,64,38,0,0
66,08-03-2006,40.1,21.7,7.1,7.2,52,31,0.38,1.8
67,09-03-2006,27,21.7,4.7,4.1,45,23,0,0
68,10-03-2006,28.8,16.4,9.6,5.8,39,25,0.01,0.1
69,11-03-2006,24.9,14.4,9.9,4.8,33,21,T,0.1
70,12-03-2006,28.4,19.9,8.2,7.5,33,25,0.14,2.2
71,13-03-2006,23.8,14.1,9,5.5,35,14,0.01,0.1
72,14-03-2006,31.2,8.3,10,5.7,50,17,0,0
73,15-03-2006,35.8,14.1,10,6,58,23,T,0
74,16-03-2006,37.2,5.1,10,11.2,50,27,0,0
75,17-03-2006,34.6,10.8,10,6.5,48,22,0,0
76,18-03-2006,33.8,17.5,10,6.6,49,23,0.06,T
77,19-03-2006,34.9,27.9,7.1,9.4,39,30,0.69,6.2
78,20-03-2006,24.2,17.5,5.6,11.1,32,20,0.12,3.9
79,21-03-2006,18.4,10.5,9.5,5.3,30,14,0.04,0.7
80,22-03-2006,22.2,14.4,10,4.5,34,20,T,T
81,23-03-2006,29.3,21.4,5.9,2.9,46,24,0,0
82,24-03-2006,36.7,23.4,7.4,3.7,57,25,0,0
83,25-03-2006,41,22.5,10,5,59,26,0,0
84,26-03-2006,41.3,25,7.1,10.2,53,34,0,0
85,27-03-2006,41.1,14.4,10,7.8,54,32,0,0
86,28-03-2006,42.4,20.2,10,5.5,66,39,0,0
87,29-03-2006,51.1,24.4,10,7.1,68,37,T,0
88,30-03-2006,47.4,25.6,10,6.3,60,39,0,0
89,31-03-2006,46.4,16.7,10,6.3,63,30,0,0
90,01-04-2006,48.6,23.8,10,5.3,66,34,T,0
91,02-04-2006,47.6,18.1,10,15,58,39,0.03,0
92,03-04-2006,42.2,19.8,10,6.5,59,30,0,0
93,04-04-2006,49,23.8,10,2.5,72,35,0,0
94,05-04-2006,58,28.3,9.8,6.1,75,39,0,0
95,06-04-2006,50.1,19.2,10,7.8,62,35,0,0
96,07-04-2006,47.8,20.5,10,17,57,43,T,0
97,08-04-2006,40.4,17,10,4.9,63,26,0,0
98,09-04-2006,52,24.4,10,4.2,76,34,0,0
99,10-04-2006,58.5,18.3,10,7.8,78,35,0,0
100,11-04-2006,56.4,18.6,10,6.7,70,44,0,0
101,12-04-2006,54.5,22.2,10,5.2,73,35,0,0
102,13-04-2006,61.5,24.2,10,7.1,84,43,0,0
103,14-04-2006,66.1,18.5,10,9.7,81,46,0,0
104,15-04-2006,60,24.2,10,9.5,72,51,0,0
105,16-04-2006,59.4,26.4,10,7.4,75,48,0,0
106,17-04-2006,61.7,22.8,10,6.7,83,40,0,0
107,18-04-2006,51.2,14.4,10,17.5,72,39,0,0
108,19-04-2006,42.7,11.1,10,6.4,62,30,0,0
109,20-04-2006,47.2,14.5,10,5.3,67,33,0,0
110,21-04-2006,54.4,19.9,10,5.8,74,35,0,0
111,22-04-2006,59.8,19.5,10,6.2,81,42,0,0
112,23-04-2006,58.4,33.6,10,8.8,74,43,0,0
113,24-04-2006,38.7,26.2,8.2,13.4,51,32,0.08,T
114,25-04-2006,31.8,19.3,10,5.5,41,29,T,T
115,26-04-2006,42.3,24.7,9,4.4,72,27,0,0
116,27-04-2006,59.1,26.2,10,4.7,78,42,0,0
117,28-04-2006,53.2,27.7,9.9,12.2,64,39,0.06,0
118,29-04-2006,49.2,23,10,9,66,37,T,0
119,30-04-2006,52.4,24.8,10,6.2,68,39,0.05,0
120,01-05-2006,53.9,34.7,10,8.2,75,39,0.01,0
121,02-05-2006,61,22.8,10,5.4,77,43,0,0
122,03-05-2006,50.1,27.2,10,6.9,58,43,0.21,0
123,04-05-2006,44.8,35.4,9.9,6,51,40,0.29,0
124,05-05-2006,41.6,35.1,7.4,7.3,48,37,0.05,0
125,06-05-2006,48.6,36.4,8.2,4.4,70,40,0.02,0
126,07-05-2006,57.4,32.8,10,4.5,72,45,0.01,0
127,08-05-2006,59.5,32.8,10,6.3,69,48,T,0
128,09-05-2006,52.9,30.6,10,8.9,66,39,0,0
129,10-05-2006,45.7,23.3,10,9.5,63,33,0,0
130,11-05-2006,48.6,20.4,10,8.4,68,33,0,0
131,12-05-2006,56.9,24.4,10,5.8,84,38,0,0
132,13-05-2006,65.1,29.7,10,9,79,45,0,0
133,14-05-2006,60.5,32.2,10,4.6,74,47,0,0
134,15-05-2006,57.1,27.3,10,5.7,75,39,0,0
135,16-05-2006,60.6,27.8,10,5.9,84,41,0,0
136,17-05-2006,64.6,32.3,10,5.6,83,47,0,0
137,18-05-2006,66,36.1,10,5.5,87,48,0,0
138,19-05-2006,69.9,34.9,10,6.5,86,54,0.01,0
139,20-05-2006,70.1,41.1,10,5.3,85,56,0.03,0
