DATE,MAXTEMP,MINTEMP,PREC,SNF
01-01-2000,56,27,0.06,0.6
02-01-2000,39,17,T,T
03-01-2000,26,10,T,T
04-01-2000,43,8,0,0
05-01-2000,43,21,T,T
06-01-2000,31,14,T,T
07-01-2000,49,12,0,0
08-01-2000,42,23,0,0
09-01-2000,42,26,0,0
10-01-2000,50,22,0,0
11-01-2000,64,15,0,0
12-01-2000,55,24,0,0
13-01-2000,41,21,0,0
14-01-2000,63,22,0,0
15-01-2000,60,31,0,0
16-01-2000,50,29,0,0
17-01-2000,62,33,0,0
18-01-2000,53,35,0,0
19-01-2000,56,24,0,0
20-01-2000,57,20,0,0
21-01-2000,58,25,0,0
22-01-2000,44,22,0,0
23-01-2000,43,22,0,0
24-01-2000,53,16,0,0
25-01-2000,32,19,0,0
26-01-2000,42,20,0.27,1.2
27-01-2000,31,17,0.15,2.4
28-01-2000,24,9,0.2,3.2
29-01-2000,25,2,T,T
30-01-2000,30,1,0,0
31-01-2000,35,5,0,0
01-02-2000,38,14,0,0
02-02-2000,57,23,0,0
03-02-2000,53,26,T,T
04-02-2000,34,21,T,T
05-02-2000,54,19,0,0
06-02-2000,53,28,0,0
07-02-2000,51,25,0,0
08-02-2000,61,28,0,0
09-02-2000,55,32,0,0
10-02-2000,50,29,T,T
11-02-2000,29,21,T,T
12-02-2000,51,19,0,0
13-02-2000,46,20,0,0
14-02-2000,65,27,0,0
15-02-2000,58,31,0,0
16-02-2000,50,27,0,0
17-02-2000,47,22,0.2,2
18-02-2000,32,17,0,0
19-02-2000,42,14,0,0
20-02-2000,55,20,0,0
21-02-2000,64,30,0,0
22-02-2000,60,34,0.03,T
23-02-2000,57,32,0,0
24-02-2000,57,29,0,0
25-02-2000,42,31,0,0
26-02-2000,51,22,0,0
27-02-2000,57,22,0,0
28-02-2000,62,29,T,0
29-02-2000,52,31,T,0
01-03-2000,53,23,0,0
02-03-2000,42,31,T,T
03-03-2000,53,22,0,0
04-03-2000,64,25,0,0
05-03-2000,64,32,T,T
06-03-2000,59,31,0,0
07-03-2000,55,32,0.42,T
08-03-2000,55,28,T,0
09-03-2000,46,25,T,T
10-03-2000,45,22,T,T
11-03-2000,48,20,0,0
12-03-2000,41,29,0.07,0.4
13-03-2000,52,22,0,0
14-03-2000,56,28,0,0
15-03-2000,51,24,0.61,6.4
16-03-2000,28,10,0.07,1.1
17-03-2000,42,18,0.05,0.5
18-03-2000,35,22,T,T
19-03-2000,58,20,0,0
20-03-2000,50,25,T,0.2
21-03-2000,36,24,T,T
22-03-2000,46,26,0.12,T
23-03-2000,62,32,0,0
24-03-2000,60,39,0,0
25-03-2000,60,33,0,0
26-03-2000,64,39,0,0
27-03-2000,71,33,0,0
28-03-2000,54,36,T,0
29-03-2000,56,35,0.05,0
30-03-2000,38,30,0.21,0.3
31-03-2000,32,27,0.37,3.7
01-04-2000,41,24,T,T
02-04-2000,51,24,0.18,1.6
03-04-2000,37,22,0,0
04-04-2000,74,22,0,0
05-04-2000,74,45,0,0
06-04-2000,71,39,0,0
07-04-2000,58,27,0,0
08-04-2000,59,23,0,0
09-04-2000,74,38,0,0
10-04-2000,63,42,T,0
11-04-2000,49,33,0.07,T
12-04-2000,68,28,0,0
13-04-2000,72,40,0,0
14-04-2000,74,37,0,0
15-04-2000,39,28,0.04,0.4
16-04-2000,63,25,0,0
17-04-2000,75,33,0,0
18-04-2000,78,40,0,0
19-04-2000,60,35,0,0
20-04-2000,64,33,0,0
21-04-2000,74,33,0,0
22-04-2000,71,41,T,0
23-04-2000,63,44,0.31,0
24-04-2000,69,37,T,0
25-04-2000,63,35,0,0
26-04-2000,76,35,0,0
27-04-2000,64,37,0,0
28-04-2000,68,35,0,0
29-04-2000,77,43,T,0
30-04-2000,46,35,0.02,0
01-05-2000,64,34,0,0
02-05-2000,68,34,0,0
03-05-2000,80,39,0,0
04-05-2000,84,44,0,0
05-05-2000,88,46,0,0
06-05-2000,81,57,0,0
07-05-2000,82,51,0,0
08-05-2000,52,37,0.94,0
09-05-2000,65,37,0,0
10-05-2000,78,43,0,0
11-05-2000,78,40,0,0
12-05-2000,56,31,0,0
13-05-2000,62,30,0,0
14-05-2000,71,40,0,0
15-05-2000,84,44,0,0
16-05-2000,80,47,0,0
17-05-2000,63,41,0.04,0
18-05-2000,52,39,T,0
19-05-2000,66,36,0,0
20-05-2000,68,44,T,0
21-05-2000,76,40,0,0
22-05-2000,82,46,0,0
23-05-2000,88,53,0,0
24-05-2000,71,52,0.14,0
25-05-2000,72,49,0.12,T
26-05-2000,77,51,0.03,0
27-05-2000,76,45,0,0
28-05-2000,90,47,0,0
29-05-2000,93,55,0,0
30-05-2000,94,53,0,0
31-05-2000,85,51,0,0
01-06-2000,72,51,0,0
02-06-2000,69,51,0,0
03-06-2000,83,47,T,0
04-06-2000,72,53,0,0
05-06-2000,76,49,0,0
06-06-2000,88,47,0.02,0
07-06-2000,90,57,0,0
08-06-2000,90,54,0,0
09-06-2000,84,54,0,0
10-06-2000,79,53,T,0
11-06-2000,78,51,0.07,0
12-06-2000,89,46,0,0
13-06-2000,76,52,T,0
14-06-2000,75,41,0,0
15-06-2000,93,47,T,0
16-06-2000,61,42,0.02,0
17-06-2000,55,42,0.13,0
18-06-2000,77,39,0.02,0
19-06-2000,84,50,0.02,0
20-06-2000,83,51,0,0
21-06-2000,78,46,0,0
22-06-2000,90,52,0,0
23-06-2000,86,59,0,0
24-06-2000,86,58,T,0
25-06-2000,86,54,0.2,0
26-06-2000,59,49,1.15,0
27-06-2000,67,50,0.09,0
28-06-2000,66,50,T,0
29-06-2000,78,52,0.01,0
30-06-2000,83,53,0,0
01-07-2000,86,52,T,0
02-07-2000,87,59,0.5,0
03-07-2000,84,61,0.01,0
04-07-2000,88,57,0,0
05-07-2000,90,57,0,0
06-07-2000,93,58,0,0
07-07-2000,90,58,T,0
08-07-2000,89,57,0,0
09-07-2000,88,64,T,0
10-07-2000,87,61,0,0
11-07-2000,86,58,0.01,0
12-07-2000,84,60,0.01,0
13-07-2000,86,55,0,0
14-07-2000,88,57,0,0
15-07-2000,92,63,T,0
16-07-2000,81,62,0.16,0
17-07-2000,74,56,0.74,T
18-07-2000,90,54,0,0
19-07-2000,81,58,0.13,0
20-07-2000,80,57,0.06,0
21-07-2000,79,55,0.01,0
22-07-2000,79,59,0,0
23-07-2000,90,54,0,0
24-07-2000,92,59,T,0
25-07-2000,89,62,0,0
26-07-2000,90,59,T,0
27-07-2000,90,58,0.18,0
28-07-2000,85,57,0.91,T
29-07-2000,82,54,0,0
30-07-2000,83,53,0,0
31-07-2000,86,53,0,0
01-08-2000,88,56,0,0
02-08-2000,91,66,0,0
03-08-2000,85,67,T,0
04-08-2000,88,60,0.17,0
05-08-2000,88,60,0.05,0
06-08-2000,81,57,0.1,0
07-08-2000,90,52,0.01,0
08-08-2000,93,56,0,0
09-08-2000,91,58,T,0
10-08-2000,85,52,0,0
11-08-2000,92,57,0.45,0
12-08-2000,84,63,T,0
13-08-2000,85,59,0.24,0
14-08-2000,91,60,0,0
15-08-2000,90,64,0.03,0
16-08-2000,87,63,0.15,0
17-08-2000,75,56,0.32,0
18-08-2000,73,55,0.06,0
19-08-2000,84,56,0.03,0
20-08-2000,86,57,0.01,0
21-08-2000,85,52,0.1,0
22-08-2000,85,57,0.06,0
23-08-2000,84,53,0.16,0
24-08-2000,83,56,0,0
25-08-2000,89,56,0.49,0
26-08-2000,84,57,0.27,0
27-08-2000,85,54,T,0
28-08-2000,89,56,2.99,0
29-08-2000,79,54,0.01,0
30-08-2000,82,55,0,0
31-08-2000,72,56,0.12,0
01-09-2000,79,54,0,0
02-09-2000,82,60,0,0
03-09-2000,79,54,0,0
04-09-2000,87,52,0.01,0
05-09-2000,87,56,0,0
06-09-2000,85,54,0,0
07-09-2000,72,51,0,0
08-09-2000,81,48,T,0
09-09-2000,82,53,0,0
10-09-2000,85,55,0,0
11-09-2000,84,59,0,0
12-09-2000,78,50,0,0
13-09-2000,86,51,0,0
14-09-2000,80,52,0,0
15-09-2000,87,47,0,0
16-09-2000,91,55,0,0
17-09-2000,89,51,0,0
18-09-2000,80,58,0,0
19-09-2000,81,50,0,0
20-09-2000,53,40,T,0
21-09-2000,83,33,0.01,0
22-09-2000,60,37,0.03,0
23-09-2000,43,32,0.41,0.5
24-09-2000,43,31,0.09,1
25-09-2000,61,28,0,0
26-09-2000,71,35,0,0
27-09-2000,73,37,0,0
28-09-2000,76,41,0,0
29-09-2000,76,49,T,0
30-09-2000,80,49,0,0
01-10-2000,83,54,0,0
02-10-2000,84,47,0,0
03-10-2000,82,48,0,0
04-10-2000,68,48,T,0
05-10-2000,60,31,0.02,0
06-10-2000,34,29,0.15,1.5
07-10-2000,38,28,T,T
08-10-2000,40,31,T,T
09-10-2000,57,35,0,0
10-10-2000,68,33,0,0
11-10-2000,75,40,0,0
12-10-2000,71,43,0,0
13-10-2000,62,36,0,0
14-10-2000,60,36,0,0
15-10-2000,58,34,0,0
16-10-2000,64,33,0,0
17-10-2000,67,37,0,0
18-10-2000,71,36,0,0
19-10-2000,73,39,0,0
20-10-2000,66,43,0,0
21-10-2000,69,32,0,0
22-10-2000,50,39,0.12,T
23-10-2000,51,35,0.07,0
24-10-2000,60,40,0.08,0
25-10-2000,58,36,0,0
26-10-2000,60,34,0,0
27-10-2000,61,34,0,0
28-10-2000,52,45,0.41,0
29-10-2000,63,37,0.01,0
30-10-2000,59,34,0,0
31-10-2000,55,33,0,0
01-11-2000,55,30,0,0
02-11-2000,41,29,0.02,0.2
03-11-2000,43,28,0.05,0.5
04-11-2000,55,26,0,0
05-11-2000,55,24,0.03,0.3
06-11-2000,35,22,T,T
07-11-2000,36,13,T,T
08-11-2000,39,20,0,0
09-11-2000,46,16,0,0
10-11-2000,29,15,T,T
11-11-2000,27,16,0.05,0.9
12-11-2000,26,7,0.04,1
13-11-2000,30,3,0,0
14-11-2000,39,9,0,0
15-11-2000,41,18,0,0
16-11-2000,31,15,0,0
17-11-2000,36,9,T,T
18-11-2000,39,5,0,0
19-11-2000,41,15,0,0
20-11-2000,42,13,0,0
21-11-2000,54,20,0,0
22-11-2000,51,30,0,0
23-11-2000,45,27,0,0
24-11-2000,51,19,0,0
25-11-2000,40,20,0,0
26-11-2000,53,18,0,0
27-11-2000,43,26,0,0
28-11-2000,43,21,0,0
29-11-2000,40,15,0,0
30-11-2000,59,23,0,0
01-12-2000,39,18,0,0
02-12-2000,38,13,0,0
03-12-2000,61,14,0,0
04-12-2000,41,19,0,0
05-12-2000,59,20,0.02,0.2
06-12-2000,44,12,0,0
07-12-2000,63,27,0,0
08-12-2000,35,20,0.01,0.1
09-12-2000,53,24,0,0
10-12-2000,43,19,0.07,1.2
11-12-2000,21,2,0.12,1.8
12-12-2000,19,1,0,0
13-12-2000,26,1,T,T
14-12-2000,47,8,0,0
15-12-2000,45,24,0,0
16-12-2000,28,11,T,T
17-12-2000,58,16,0,0
18-12-2000,34,15,0,0
19-12-2000,51,10,0,0
20-12-2000,47,11,0,0
21-12-2000,28,4,0,0
22-12-2000,55,14,0,0
23-12-2000,39,19,0,0
24-12-2000,36,16,0,0
25-12-2000,25,16,0.03,0.4
26-12-2000,33,14,0,0
27-12-2000,55,24,0,0
28-12-2000,45,28,0,0
29-12-2000,32,13,0,0
30-12-2000,42,12,0,0
31-12-2000,38,12,0,0
01-01-2001,37,12,0,0
02-01-2001,43,16,0,0
03-01-2001,56,20,0,0
04-01-2001,70,20,0,0
05-01-2001,60,24,0,0
06-01-2001,61,29,0,0
07-01-2001,37,15,T,T
08-01-2001,51,14,0,0
09-01-2001,47,17,0,0
10-01-2001,53,20,0,0
11-01-2001,48,17,0,0
12-01-2001,53,20,0,0
13-01-2001,38,20,0.03,0.3
14-01-2001,37,11,0,0
15-01-2001,31,8,0.14,2.3
16-01-2001,21,7,0.35,6.7
17-01-2001,18,-2,T,T
18-01-2001,26,8,0,0
19-01-2001,22,2,0,0
20-01-2001,36,7,T,T
21-01-2001,30,10,0,0
22-01-2001,48,14,0,0
23-01-2001,30,19,0,0
24-01-2001,35,19,0,0
25-01-2001,43,20,0,0
26-01-2001,36,20,T,T
27-01-2001,24,19,0.23,3.9
28-01-2001,26,17,0.06,1.3
29-01-2001,38,17,0.01,0.1
30-01-2001,31,19,0,0
31-01-2001,28,6,0,0
01-02-2001,32,8,0,0
02-02-2001,41,11,0,0
03-02-2001,47,26,T,T
04-02-2001,33,20,0,0
05-02-2001,59,25,0,0
06-02-2001,31,25,0,0
07-02-2001,54,24,0,0
08-02-2001,25,6,0.07,2.4
09-02-2001,16,-1,0.03,0.9
10-02-2001,38,-1,0,0
11-02-2001,47,19,0,0
12-02-2001,40,23,0,0
13-02-2001,55,22,T,T
14-02-2001,27,19,0.02,0.6
15-02-2001,42,19,T,T
16-02-2001,29,20,T,T
17-02-2001,42,20,0,0
18-02-2001,55,25,0,0
19-02-2001,57,30,0,0
20-02-2001,55,26,T,0
21-02-2001,40,23,T,T
22-02-2001,51,26,0,0
23-02-2001,54,25,0,0
24-02-2001,46,23,T,T
25-02-2001,50,17,0,0
26-02-2001,44,24,T,T
27-02-2001,26,14,0.14,2
28-02-2001,28,14,T,T
01-03-2001,50,25,T,T
02-03-2001,50,21,T,0
03-03-2001,45,25,0,0
04-03-2001,50,22,0,0
05-03-2001,62,24,0,0
06-03-2001,58,33,T,0
07-03-2001,50,32,0,0
08-03-2001,53,29,0,0
09-03-2001,61,28,0,0
10-03-2001,44,24,0.44,3.3
11-03-2001,27,14,0.13,2.1
12-03-2001,42,11,0,0
13-03-2001,53,26,0,0
14-03-2001,52,27,0.03,0.4
15-03-2001,39,22,T,T
16-03-2001,39,20,0.06,1
17-03-2001,28,23,0.38,4.5
18-03-2001,43,25,T,T
19-03-2001,56,23,0,0
20-03-2001,64,32,0,0
